Item,Quantity,Name,Material
1,1,bottom_mgn12_short_duct,PETG
2,19,"M3  Hex nut ",Hardened Alloy Steel
3,4,DIN 912 M3 35 mm,Hardened Alloy Steel
4,1,Duct v2.1 Straight,PETG
5,1,back_corexy,PETG
6,2,tension_slider_9mm_belt_M5,PETG
7,1,DIN 912 M3 25 mm,Hardened Alloy Steel
8,2,DIN 912 M5 45 mm,Hardened Alloy Steel
9,2,M5  Hex nut Nyloc,Hardened Alloy Steel
10,1,5015 fan,- None -
11,6,DIN 912 M3 10 mm,Hardened Alloy Steel
12,1,LGX with copperhead screwmount,- None -
13,1,LGX with copperhead screwmount,- None -
14,1,PC4-M6,- None -
15,1,top_lgx_mgn12_b,PETG
16,1,top_lgx_mgn12_a,PETG
17,8,DIN 912 M3 8 mm,Hardened Alloy Steel
18,1,cable_holder,PETG
19,1,unversal_cable_mount,PETG
20,1,universal_face,PETG
21,2,face_belt_grabber,PETG
22,1,PTFE 60mm,PTFE
